Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
AHE-L150.fasta	108	1641	177228	24810	13.999	1051	0.64	724	0.441	0.51	0.49	36480	35395	39259	41132	0	0	70	72	3	1	5	1	0	0	0	477	0	24333	0
AHE-L151.fasta	117	1467	171639	3581	2.086	779	0.531	564	0.384	0.541	0.459	43224	39800	37274	47698	0	0	32	27	1	1	0	1	0	0	0	77	0	3504	0
AHE-L152.fasta	122	1407	171654	6932	4.038	639	0.454	470	0.334	0.485	0.515	42416	41749	42979	37514	0	2	30	29	0	0	0	1	2	0	0	127	0	6805	0
AHE-L153.fasta	122	1791	218502	21696	9.929	985	0.55	656	0.366	0.568	0.432	59696	41248	43716	52022	1	1	56	60	1	1	0	0	1	3	0	191	0	21505	0
AHE-L155.fasta	121	978	118338	4912	4.151	406	0.415	231	0.236	0.559	0.441	32380	26409	23612	30993	1	1	11	10	0	0	4	1	4	0	0	148	0	4764	0
AHE-L156.fasta	120	1428	171360	13144	7.67	731	0.512	493	0.345	0.567	0.433	49018	35417	33080	40613	6	2	32	22	0	0	4	7	7	8	0	57	0	13087	0
AHE-L157.fasta	122	1698	207156	18903	9.125	887	0.522	601	0.354	0.5	0.5	53131	50438	43673	40900	0	1	37	72	0	0	0	1	0	0	0	421	0	18482	0
AHE-L158.fasta	112	1377	154224	21805	14.139	618	0.449	413	0.3	0.584	0.416	52600	21626	33550	24567	1	0	51	24	0	0	0	0	0	0	0	3803	0	18002	0
AHE-L159.fasta	120	1827	219240	13075	5.964	814	0.446	578	0.316	0.544	0.456	62480	43608	50554	49436	1	0	36	50	0	0	0	0	0	0	0	198	0	12877	0
AHE-L16.fasta	121	1470	177870	15922	8.951	751	0.511	569	0.387	0.53	0.47	38336	37975	37991	47540	0	0	54	51	1	0	0	0	0	0	0	107	0	15815	0
AHE-L160.fasta	121	1584	191664	13861	7.232	777	0.491	478	0.302	0.579	0.421	58852	38979	35829	44033	1	0	32	66	0	1	1	4	3	2	0	228	0	13633	0
AHE-L161.fasta	122	1530	186660	9149	4.901	664	0.434	411	0.269	0.494	0.506	47608	51314	38415	40130	0	0	20	22	0	0	0	0	2	0	0	77	0	9072	0
AHE-L162.fasta	85	783	66555	7471	11.225	455	0.581	276	0.352	0.521	0.479	11897	15658	12324	18541	0	1	317	346	0	0	0	0	0	0	0	1492	0	5979	0
AHE-L163.fasta	118	1368	161424	9377	5.809	947	0.692	658	0.481	0.55	0.45	45122	34925	33500	38439	0	0	33	26	0	0	0	0	0	2	0	176	0	9201	0
AHE-L164.fasta	122	1710	208620	5703	2.734	676	0.395	436	0.255	0.581	0.419	60303	47525	37436	57500	2	7	50	50	6	9	7	7	9	6	0	159	0	5544	0
AHE-L165.fasta	121	1215	147015	2587	1.76	587	0.483	377	0.31	0.562	0.438	42817	29963	33211	38384	1	0	19	30	0	0	0	1	2	0	0	41	0	2546	0
AHE-L166.fasta	105	1410	148050	16806	11.352	931	0.66	624	0.443	0.58	0.42	41181	27054	28032	34887	0	2	41	42	0	2	0	1	1	1	0	997	0	15809	0
AHE-L167.fasta	119	1698	202062	27669	13.693	915	0.539	608	0.358	0.598	0.402	58262	31604	38457	45996	0	1	34	39	0	0	0	0	0	0	0	329	0	27340	0
AHE-L169.fasta	118	1116	131688	3085	2.343	536	0.48	398	0.357	0.553	0.447	34228	30873	26552	36863	0	0	27	51	1	0	2	2	1	3	0	47	0	3038	0
AHE-L17.fasta	122	1626	198372	8015	4.04	654	0.402	476	0.293	0.515	0.485	49029	45731	46579	48936	0	2	34	40	1	0	2	2	0	1	0	74	0	7941	0
AHE-L170.fasta	121	1557	188397	9829	5.217	610	0.392	405	0.26	0.621	0.379	62268	29758	37979	48495	0	0	39	28	0	1	0	0	0	0	0	171	0	9658	0
AHE-L171.fasta	121	981	118701	21076	17.756	433	0.441	277	0.282	0.516	0.484	29550	25768	21384	20879	0	0	17	25	0	0	1	1	0	0	0	86	0	20990	0
AHE-L172.fasta	121	1734	209814	13815	6.584	671	0.387	382	0.22	0.607	0.393	63406	33643	43306	55600	1	2	21	20	0	0	0	0	0	0	0	315	0	13500	0
AHE-L173.fasta	106	1560	165360	70768	42.796	974	0.624	554	0.355	0.591	0.409	28995	18052	20284	27225	0	0	18	17	0	0	1	0	0	0	0	3423	0	67345	0
AHE-L174.fasta	121	1602	193842	20959	10.812	1049	0.655	692	0.432	0.533	0.467	48110	44932	35643	44083	3	0	72	38	0	0	1	0	1	0	0	179	0	20780	0
AHE-L175.fasta	121	1632	197472	10948	5.544	784	0.48	507	0.311	0.545	0.455	55312	46999	37871	46275	2	1	27	31	1	0	1	1	1	2	0	83	0	10865	0
AHE-L176.fasta	122	1818	221796	15523	6.999	855	0.47	537	0.295	0.563	0.437	64806	46120	44114	51166	1	0	30	33	0	1	0	0	1	1	0	235	0	15288	0
AHE-L177.fasta	122	1533	187026	21682	11.593	753	0.491	481	0.314	0.598	0.402	49804	30122	36275	49023	2	5	42	45	3	4	7	2	4	6	0	114	0	21568	0
AHE-L178.fasta	122	951	116022	1932	1.665	336	0.353	254	0.267	0.505	0.495	25857	31808	24584	31805	1	0	14	16	0	0	1	2	2	0	0	137	0	1795	0
AHE-L179.fasta	120	1719	206280	12760	6.186	1069	0.622	732	0.426	0.579	0.421	62609	40095	41368	49368	1	1	40	37	1	0	0	0	0	0	0	154	0	12606	0
AHE-L18.fasta	120	1629	195480	32980	16.871	689	0.423	492	0.302	0.447	0.553	39128	43316	46419	33585	1	1	35	13	0	1	1	0	0	0	0	311	0	32669	0
AHE-L180.fasta	118	1911	225498	19878	8.815	1039	0.544	651	0.341	0.591	0.409	78906	33983	50021	42645	1	0	37	26	0	0	0	0	0	1	0	66	0	19812	0
AHE-L181.fasta	118	1722	203196	23987	11.805	938	0.545	620	0.36	0.583	0.417	60673	36336	38635	43474	0	1	61	28	1	0	0	0	0	0	0	365	0	23622	0
AHE-L182.fasta	121	1521	184041	17907	9.73	509	0.335	282	0.185	0.53	0.47	44461	37005	40972	43619	2	2	24	19	0	2	6	9	5	8	0	537	0	17370	0
AHE-L183.fasta	117	1977	231309	87056	37.636	1402	0.709	675	0.341	0.547	0.453	41800	30167	34891	37337	0	0	29	28	0	0	0	0	0	1	0	4391	0	82665	0
AHE-L184.fasta	113	1743	196959	20645	10.482	821	0.471	517	0.297	0.406	0.594	40247	57469	47338	31091	0	5	47	72	10	3	13	7	7	5	0	233	0	20412	0
AHE-L185.fasta	122	1575	192150	10653	5.544	638	0.405	408	0.259	0.55	0.45	55346	45871	35724	44471	2	4	33	31	1	3	1	3	5	2	0	259	0	10394	0
AHE-L186.fasta	35	1305	45675	17803	38.978	691	0.53	438	0.336	0.381	0.619	4951	9343	7566	6007	0	0	2	0	0	0	1	1	1	0	0	7	0	17796	0
AHE-L187.fasta	121	1356	164076	9771	5.955	750	0.553	471	0.347	0.522	0.478	44281	38193	35503	36233	0	0	46	49	0	0	0	0	0	0	0	355	0	9416	0
AHE-L188.fasta	111	1881	208791	23810	11.404	916	0.487	675	0.359	0.477	0.523	51471	54891	42258	36195	0	2	92	70	0	1	0	1	0	0	0	309	0	23501	0
AHE-L189.fasta	122	1632	199104	10984	5.517	834	0.511	533	0.327	0.582	0.418	57836	43356	35347	51446	0	1	62	69	1	0	0	0	0	2	0	78	0	10906	0
AHE-L19.fasta	121	1353	163713	4001	2.444	464	0.343	308	0.228	0.533	0.467	41613	37451	37047	43495	4	8	24	42	0	2	8	4	9	5	0	139	0	3862	0
AHE-L190.fasta	118	960	113280	8419	7.432	497	0.518	314	0.327	0.581	0.419	30658	22174	21755	30201	0	0	31	41	0	0	0	1	0	0	0	213	0	8206	0
AHE-L191.fasta	121	1236	149556	5425	3.627	756	0.612	551	0.446	0.578	0.422	43394	29819	30920	39887	0	0	47	63	0	0	0	0	1	0	0	166	0	5259	0
AHE-L192.fasta	122	1659	202398	17063	8.43	893	0.538	618	0.373	0.495	0.505	52425	50113	43216	39428	0	1	79	65	0	0	1	3	2	2	0	162	0	16901	0
AHE-L193.fasta	120	1191	142920	3000	2.099	559	0.469	428	0.359	0.526	0.474	36285	33793	32415	37362	0	0	16	46	0	0	1	0	0	2	0	85	0	2915	0
AHE-L194.fasta	18	1152	20736	2582	12.452	480	0.417	266	0.231	0.327	0.673	3623	5972	6209	2289	5	2	13	4	15	2	9	10	1	0	0	30	0	2552	0
AHE-L195.fasta	27	1263	34101	11723	34.377	545	0.432	322	0.255	0.303	0.697	4006	7601	7848	2913	0	0	4	1	4	0	1	0	0	0	0	6	0	11717	0
AHE-L196.fasta	115	1563	179745	47844	26.618	1080	0.691	687	0.44	0.521	0.479	31182	33651	29129	37846	1	0	40	49	2	0	1	0	0	0	0	744	0	47100	0
AHE-L197.fasta	121	1056	127776	8469	6.628	580	0.549	367	0.348	0.543	0.457	30448	31981	22561	34223	2	1	39	47	0	1	2	1	1	0	0	129	0	8340	0
AHE-L198.fasta	119	780	92820	4540	4.891	449	0.576	300	0.385	0.572	0.428	26467	18594	19126	24052	0	0	25	16	0	0	0	0	0	0	0	100	0	4440	0
AHE-L199.fasta	94	1305	122670	10852	8.846	925	0.709	626	0.48	0.576	0.424	36439	22999	24344	27938	1	1	56	33	3	1	2	1	0	0	0	154	0	10698	0
AHE-L2.fasta	102	1569	160038	23970	14.978	627	0.4	429	0.273	0.436	0.564	33194	43217	33564	25964	1	2	53	62	4	1	2	1	0	3	0	970	0	23000	0
AHE-L20.fasta	121	1146	138666	1996	1.439	400	0.349	309	0.27	0.511	0.489	32705	32520	34289	37098	0	0	23	34	0	1	0	0	0	0	0	161	0	1835	0
AHE-L200.fasta	122	1671	203862	9836	4.825	634	0.379	380	0.227	0.538	0.462	57558	45983	43683	46709	1	2	45	37	0	0	2	3	1	2	0	303	0	9533	0
AHE-L201.fasta	122	1632	199104	13474	6.767	556	0.341	313	0.192	0.5	0.5	52211	53792	38916	40583	1	7	28	35	2	7	13	17	11	7	0	833	0	12641	0
AHE-L202.fasta	121	1650	199650	16338	8.183	444	0.269	277	0.168	0.521	0.479	52243	44488	43237	43281	2	2	22	32	1	0	1	1	2	0	0	79	0	16259	0
AHE-L203.fasta	121	1863	225423	27956	12.402	691	0.371	465	0.25	0.514	0.486	50892	45101	51370	50011	0	0	27	65	0	0	0	1	0	0	0	93	0	27863	0
AHE-L204.fasta	95	753	71535	9542	13.339	433	0.575	196	0.26	0.625	0.375	18087	12265	11045	20581	0	0	5	9	0	1	0	0	0	0	0	575	0	8967	0
AHE-L205.fasta	122	1851	225822	15382	6.812	719	0.388	487	0.263	0.566	0.434	69211	49169	42042	49865	2	4	61	61	2	9	5	4	4	1	0	103	0	15279	0
AHE-L206.fasta	122	1662	202764	5137	2.533	633	0.381	450	0.271	0.56	0.44	57758	41884	45005	52916	0	0	36	25	0	0	1	0	2	0	0	68	0	5069	0
AHE-L207.fasta	122	1620	197640	8111	4.104	719	0.444	534	0.33	0.522	0.478	56220	51441	39209	42570	1	0	35	47	0	1	1	1	2	1	0	86	0	8025	0
AHE-L208.fasta	122	1767	215574	18616	8.636	982	0.556	705	0.399	0.504	0.496	59159	52884	44675	40108	0	1	59	69	0	1	0	1	0	1	0	88	0	18528	0
AHE-L209.fasta	120	1338	160560	6472	4.031	771	0.576	565	0.422	0.548	0.452	42318	36198	33332	42155	0	1	34	45	1	1	0	1	0	2	0	487	0	5985	0
AHE-L21.fasta	120	810	97200	3227	3.32	369	0.456	272	0.336	0.525	0.475	24354	22406	22224	24957	0	0	18	14	0	0	0	0	0	0	0	121	0	3106	0
AHE-L210.fasta	121	1593	192753	7811	4.052	719	0.451	458	0.288	0.594	0.406	44777	37427	37679	65003	1	0	18	36	0	0	0	0	1	0	0	52	0	7759	0
AHE-L211.fasta	122	1794	218868	16186	7.395	908	0.506	622	0.347	0.549	0.451	65258	39516	52066	45749	1	0	52	39	0	0	1	0	0	0	0	83	0	16103	0
AHE-L212.fasta	121	1833	221793	26785	12.077	1119	0.61	769	0.42	0.559	0.441	57178	43416	42111	52150	1	1	76	71	0	0	2	0	2	0	0	1099	0	25686	0
AHE-L213.fasta	118	1092	128856	12431	9.647	539	0.494	389	0.356	0.432	0.568	22234	33380	32754	27970	0	0	39	47	0	0	0	1	0	0	0	601	0	11830	0
AHE-L214.fasta	120	1554	186480	13000	6.971	1071	0.689	705	0.454	0.57	0.43	48234	44050	30578	50543	1	1	42	31	0	0	0	0	0	0	0	282	0	12718	0
AHE-L215.fasta	91	1353	123123	45987	37.35	596	0.441	384	0.284	0.507	0.493	19401	22015	16117	19567	2	2	5	12	2	0	5	4	2	2	0	191	0	45796	0
AHE-L216.fasta	15	1587	23805	3523	14.799	1010	0.636	639	0.403	0.337	0.663	2358	6868	6657	4381	1	0	1	6	2	0	3	4	0	1	0	21	0	3502	0
AHE-L218.fasta	96	1212	116352	13432	11.544	818	0.675	523	0.432	0.549	0.451	27446	20727	25623	29020	3	0	51	43	1	0	1	3	1	1	0	181	0	13251	0
AHE-L219.fasta	122	1596	194712	9271	4.761	770	0.482	505	0.316	0.531	0.469	55036	45882	41164	43255	0	0	44	56	0	0	0	1	1	2	0	92	0	9179	0
AHE-L22.fasta	122	1350	164700	3888	2.361	561	0.416	377	0.279	0.463	0.537	38155	47038	39240	36284	1	3	21	28	1	0	8	14	10	9	0	37	0	3851	0
AHE-L220.fasta	121	1230	148830	2183	1.467	517	0.42	365	0.297	0.554	0.446	40981	29776	35528	40326	0	0	21	15	0	0	0	0	0	0	0	39	0	2144	0
AHE-L221.fasta	122	1818	221796	16436	7.41	844	0.464	501	0.276	0.612	0.388	69398	39239	40539	56098	0	0	48	37	0	0	0	0	0	1	0	508	0	15928	0
AHE-L222.fasta	122	1434	174948	4356	2.49	600	0.418	448	0.312	0.54	0.46	50186	39596	38831	41912	0	0	27	40	0	0	0	0	0	0	0	68	0	4288	0
AHE-L223.fasta	36	720	25920	10553	40.714	360	0.5	180	0.25	0.655	0.345	5391	2963	2298	4714	0	1	0	0	0	0	0	0	0	0	0	56	0	10497	0
AHE-L224.fasta	122	1086	132492	3683	2.78	434	0.4	318	0.293	0.512	0.488	32462	31516	31304	33439	1	0	44	43	0	0	0	0	0	0	0	76	0	3607	0
AHE-L225.fasta	122	1854	226188	12490	5.522	675	0.364	475	0.256	0.545	0.455	60343	49997	47140	56070	3	4	65	49	1	0	6	10	7	3	0	111	0	12379	0
AHE-L226.fasta	122	1425	173850	7632	4.39	855	0.6	568	0.399	0.538	0.462	42727	36375	40354	46659	1	2	51	45	0	0	0	2	1	1	0	647	0	6985	0
AHE-L227.fasta	90	1569	141210	18664	13.217	698	0.445	505	0.322	0.387	0.613	25612	35182	39918	21607	0	2	87	124	3	0	6	4	0	1	0	377	0	18287	0
AHE-L228.fasta	43	1098	47214	8250	17.474	537	0.489	315	0.287	0.356	0.644	5580	14396	10630	8318	1	2	3	4	7	0	10	12	0	1	0	27	0	8223	0
AHE-L229.fasta	122	1524	185928	25012	13.453	751	0.493	599	0.393	0.464	0.536	38987	40613	45491	35636	2	2	73	98	3	0	8	2	0	1	0	123	0	24889	0
AHE-L23.fasta	89	1563	139107	12550	9.022	758	0.485	546	0.349	0.381	0.619	27406	45919	32299	20864	0	6	22	30	2	1	4	3	0	1	0	192	0	12358	0
AHE-L230.fasta	113	1554	175602	29323	16.699	914	0.588	702	0.452	0.439	0.561	39743	38288	43352	24581	0	1	144	168	0	1	0	1	0	0	0	338	0	28985	0
AHE-L231.fasta	119	1014	120666	4511	3.738	454	0.448	293	0.289	0.508	0.492	33131	27684	29491	25763	1	4	43	24	1	2	5	2	2	2	0	296	0	4215	0
AHE-L232.fasta	121	1593	192753	11767	6.105	817	0.513	560	0.352	0.528	0.472	53304	43239	42252	42063	1	1	70	46	2	1	1	1	4	1	0	193	0	11574	0
AHE-L233.fasta	117	828	96876	3825	3.948	449	0.542	334	0.403	0.484	0.516	25011	27729	20223	20028	0	0	29	27	1	0	0	0	2	1	0	123	0	3702	0
AHE-L234.fasta	109	1347	146823	12811	8.725	819	0.608	571	0.424	0.541	0.459	37661	31174	30288	34750	1	0	60	68	2	1	4	2	1	0	0	287	0	12524	0
AHE-L235.fasta	99	966	95634	7071	7.394	693	0.717	458	0.474	0.533	0.467	25680	20138	21120	21535	0	0	51	35	1	1	0	1	0	1	0	162	0	6909	0
AHE-L236.fasta	122	1623	198006	11557	5.837	630	0.388	378	0.233	0.579	0.421	60784	44711	33712	47172	1	1	30	32	1	1	2	0	1	1	0	48	0	11509	0
AHE-L237.fasta	116	1497	173652	35635	20.521	1095	0.731	760	0.508	0.547	0.453	42910	35379	27226	32328	0	1	98	73	1	0	0	0	1	0	0	170	0	35465	0
AHE-L238.fasta	110	1680	184800	40361	21.84	856	0.51	540	0.321	0.375	0.625	24241	49678	41005	29466	0	1	16	27	1	0	1	1	1	1	0	813	0	39548	0
AHE-L239.fasta	120	1899	227880	14641	6.425	734	0.387	395	0.208	0.572	0.428	74016	42648	48461	48053	0	0	32	29	0	0	0	0	0	0	0	86	0	14555	0
AHE-L24.fasta	121	1476	178596	4461	2.498	773	0.524	569	0.386	0.525	0.475	59145	37816	44798	32293	0	0	49	34	0	0	0	0	0	0	0	144	0	4317	0
AHE-L240.fasta	122	1902	232044	28236	12.168	1055	0.555	718	0.377	0.497	0.503	57572	57509	44892	43750	0	1	44	35	1	0	1	1	1	1	0	100	0	28136	0
AHE-L241.fasta	122	1377	167994	12275	7.307	800	0.581	479	0.348	0.593	0.407	50213	37034	26373	42023	0	1	34	25	2	3	2	3	2	4	0	195	0	12080	0
AHE-L242.fasta	118	1560	184080	23625	12.834	878	0.563	611	0.392	0.437	0.563	38443	54048	36118	31737	0	2	62	41	1	1	0	1	0	1	0	142	0	23483	0
